WBGT3 ,ëÃàÁäŸ
ì˙         éû      , é¸àÕâ∑ìx,  éºãÖ,  çïãÖ,  WBGT,  éºìx
2021-12-23 09:35:10,     08.3,  03.6,  08.7,    05,    38
2021-12-23 09:36:10,     08.3,  03.7,  08.7,    05,    39
2021-12-23 09:37:10,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:38:10,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:39:11,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:40:10,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:41:11,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:42:10,     08.3,  03.6,  08.8,    05,    38
2021-12-23 09:43:10,     08.4,  03.7,  08.8,    05,    38
2021-12-23 09:44:11,     08.4,  03.7,  08.9,    05,    38
2021-12-23 09:45:10,     08.4,  03.7,  08.9,    05,    38
2021-12-23 09:46:10,     08.4,  03.7,  08.9,    05,    38
2021-12-23 09:47:10,     08.4,  03.7,  08.9,    05,    38
2021-12-23 09:48:10,     08.5,  03.8,  08.9,    05,    38
2021-12-23 09:49:10,     08.5,  03.8,  09.0,    05,    38
2021-12-23 09:50:10,     08.5,  03.8,  09.0,    05,    38
2021-12-23 09:51:10,     08.5,  03.8,  09.0,    05,    38
2021-12-23 09:52:10,     08.5,  03.7,  09.1,    05,    37
2021-12-23 09:53:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:54:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:55:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:56:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:57:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:58:10,     08.6,  03.8,  09.1,    05,    37
2021-12-23 09:59:10,     08.7,  03.9,  09.1,    05,    37
2021-12-23 10:00:10,     08.7,  03.9,  09.1,    05,    37
2021-12-23 10:01:10,     08.7,  03.9,  09.1,    05,    37
2021-12-23 10:02:10,     08.7,  03.9,  09.1,    05,    37
2021-12-23 10:03:11,     08.7,  03.9,  09.2,    05,    37
2021-12-23 10:04:10,     08.7,  03.9,  09.1,    05,    37
2021-12-23 10:05:10,     08.7,  03.9,  09.2,    05,    37
2021-12-23 10:06:11,     08.7,  03.9,  09.2,    05,    37
2021-12-23 10:07:10,     08.7,  03.9,  09.2,    05,    37
2021-12-23 10:08:10,     08.7,  03.9,  09.2,    05,    37
